ip,ms,x,y,z,
192.168.1.109,589,0.052734375,-0.015625,0.9296875,
192.168.1.109,591,0.0546875,-0.0234375,0.9453125,
192.168.1.109,594,0.0546875,-0.013671875,0.94921875,
192.168.1.109,596,0.05859375,-0.009765625,0.9609375,
192.168.1.109,599,0.06640625,-0.005859375,0.974609375,
192.168.1.109,601,0.052734375,0.001953125,0.9765625,
192.168.1.109,605,0.052734375,0.005859375,0.978515625,
192.168.1.109,608,0.06640625,0.005859375,0.982421875,
192.168.1.109,610,0.0625,0.005859375,0.998046875,
192.168.1.109,613,0.05859375,0.0078125,1.01171875,
192.168.1.109,615,0.048828125,0.00390625,1.015625,
192.168.1.109,618,0.07421875,0.0,0.998046875,
192.168.1.109,620,0.044921875,0.005859375,0.98828125,
192.168.1.109,623,0.056640625,0.0,0.99609375,
192.168.1.109,625,0.064453125,-0.001953125,0.9921875,
192.168.1.109,628,0.064453125,-0.00390625,0.990234375,
192.168.1.109,630,0.064453125,-0.0078125,0.970703125,
192.168.1.109,633,0.056640625,-0.0078125,0.994140625,
192.168.1.109,636,0.060546875,-0.005859375,0.984375,
192.168.1.109,638,0.052734375,-0.009765625,0.9765625,
192.168.1.109,641,0.0546875,-0.005859375,0.951171875,
192.168.1.109,643,0.0625,-0.001953125,0.958984375,
192.168.1.109,646,0.0703125,-0.00390625,0.9609375,
192.168.1.109,648,0.06640625,-0.005859375,0.98046875,
192.168.1.109,651,0.0546875,-0.005859375,0.96875,
192.168.1.109,653,0.041015625,-0.00390625,0.9921875,
192.168.1.109,656,0.048828125,-0.009765625,1.00390625,
192.168.1.109,658,0.037109375,-0.017578125,0.9765625,
192.168.1.109,661,0.044921875,-0.005859375,0.96484375,
192.168.1.109,664,0.060546875,-0.00390625,0.97265625,
192.168.1.109,666,0.064453125,0.0,0.955078125,
192.168.1.109,669,0.060546875,-0.001953125,0.9921875,
192.168.1.109,671,0.072265625,-0.001953125,0.994140625,
192.168.1.109,674,0.076171875,-0.015625,0.998046875,
192.168.1.109,678,0.080078125,-0.013671875,0.9921875,
192.168.1.109,681,0.068359375,-0.015625,0.98046875,
192.168.1.109,683,0.06640625,-0.013671875,0.9765625,
192.168.1.109,686,0.05859375,-0.005859375,0.966796875,
192.168.1.109,688,0.052734375,-0.005859375,0.962890625,
192.168.1.109,691,0.0546875,-0.001953125,0.958984375,
192.168.1.109,693,0.046875,-0.001953125,0.9453125,
192.168.1.109,696,0.041015625,-0.00390625,0.95703125,
192.168.1.109,699,0.048828125,-0.01171875,0.97265625,
192.168.1.109,703,0.05859375,-0.009765625,0.958984375,
192.168.1.109,707,0.0703125,-0.01171875,0.982421875,
192.168.1.109,709,0.060546875,-0.005859375,0.990234375,
192.168.1.109,711,0.064453125,-0.001953125,0.990234375,
192.168.1.109,714,0.064453125,0.0078125,0.990234375,
192.168.1.109,717,0.060546875,0.0078125,0.986328125,
192.168.1.109,719,0.05859375,0.001953125,0.990234375,
192.168.1.109,721,0.072265625,0.009765625,0.998046875,
192.168.1.109,724,0.0625,0.01171875,1.01171875,
192.168.1.109,726,0.048828125,0.015625,1.01953125,
192.168.1.109,729,0.044921875,0.015625,1.009765625,
192.168.1.109,731,0.046875,0.005859375,1.01171875,
192.168.1.109,734,0.046875,0.0078125,1.005859375,
192.168.1.109,736,0.0546875,0.0078125,1.00390625,
192.168.1.109,739,0.0546875,0.0078125,1.001953125,
192.168.1.109,741,0.046875,0.00390625,0.998046875,
192.168.1.109,744,0.046875,0.00390625,0.990234375,
192.168.1.109,746,0.046875,0.001953125,0.978515625,
192.168.1.109,749,0.048828125,0.0,0.96484375,
192.168.1.109,751,0.046875,0.0,0.966796875,
192.168.1.109,754,0.0390625,-0.0078125,0.958984375,
192.168.1.109,756,0.041015625,-0.013671875,0.958984375,
192.168.1.109,759,0.03515625,-0.0078125,0.943359375,
192.168.1.109,761,0.04296875,-0.01171875,0.951171875,
192.168.1.109,764,0.0390625,-0.01171875,0.939453125,
192.168.1.109,766,0.044921875,-0.009765625,0.9453125,
192.168.1.109,769,0.044921875,-0.0078125,0.9609375,
192.168.1.109,772,0.0546875,-0.005859375,0.96484375,
192.168.1.109,774,0.046875,-0.01171875,0.95703125,
192.168.1.109,777,0.046875,-0.017578125,0.95703125,
192.168.1.109,779,0.046875,-0.01171875,0.955078125,
192.168.1.109,782,0.048828125,-0.0078125,0.943359375,
192.168.1.109,784,0.0546875,0.001953125,0.962890625,
192.168.1.109,787,0.07421875,-0.00390625,0.9453125,
192.168.1.109,789,0.09765625,-0.001953125,0.935546875,
192.168.1.109,792,0.083984375,0.009765625,0.953125,
192.168.1.109,794,0.078125,0.015625,0.96484375,
192.168.1.109,797,0.083984375,0.00390625,0.974609375,
192.168.1.109,800,0.048828125,0.0234375,0.984375,
192.168.1.109,802,0.03125,0.03515625,0.984375,
192.168.1.109,805,0.046875,0.0234375,1.001953125,
192.168.1.109,807,0.0390625,0.02734375,0.99609375,
192.168.1.109,810,0.01171875,0.029296875,0.998046875,
192.168.1.109,812,0.04296875,0.009765625,1.001953125,
192.168.1.109,815,0.078125,-0.013671875,0.9921875,
192.168.1.109,818,0.0390625,0.00390625,0.990234375,
192.168.1.109,820,0.02734375,0.021484375,0.990234375,
192.168.1.109,823,0.046875,0.00390625,0.98828125,
192.168.1.109,825,0.05078125,-0.005859375,0.982421875,
192.168.1.109,828,0.017578125,0.009765625,0.982421875,
192.168.1.109,831,0.02734375,0.01171875,0.982421875,
192.168.1.109,834,0.04296875,0.001953125,0.951171875,
192.168.1.109,836,0.041015625,0.0,0.9453125,
192.168.1.109,839,0.0234375,0.0,0.947265625,
192.168.1.109,843,0.04296875,-0.017578125,0.958984375,
192.168.1.109,845,0.029296875,0.00390625,0.978515625,
192.168.1.109,849,0.021484375,0.001953125,0.978515625,
192.168.1.109,852,0.025390625,-0.001953125,0.96875,
192.168.1.109,854,0.0234375,-0.009765625,0.978515625,
192.168.1.109,857,0.009765625,-0.01171875,0.93359375,
192.168.1.109,859,0.01171875,0.001953125,0.9375,
192.168.1.109,862,0.001953125,-0.001953125,0.978515625,
192.168.1.109,864,0.0,0.01953125,0.974609375,
192.168.1.109,866,-0.005859375,0.017578125,0.97265625,
192.168.1.109,869,-0.021484375,0.02734375,0.96875,
192.168.1.109,871,-0.02734375,0.029296875,0.953125,
192.168.1.109,874,-0.015625,0.009765625,0.958984375,
192.168.1.109,876,0.005859375,-0.00390625,0.96875,
192.168.1.109,879,0.0390625,-0.02734375,0.962890625,
192.168.1.109,881,0.083984375,-0.056640625,0.955078125,
192.168.1.109,884,0.107421875,-0.06640625,0.955078125,
192.168.1.109,886,0.130859375,-0.0625,0.95703125,
192.168.1.109,889,0.142578125,-0.05078125,0.966796875,
192.168.1.109,891,0.12890625,-0.0390625,0.9765625,
192.168.1.109,894,0.107421875,-0.015625,0.990234375,
192.168.1.109,896,0.099609375,-0.005859375,0.98828125,
192.168.1.109,899,0.08203125,-0.001953125,0.99609375,
192.168.1.109,902,0.0703125,-0.001953125,0.99609375,
192.168.1.109,904,0.056640625,0.001953125,1.009765625,
192.168.1.109,907,0.046875,-0.001953125,1.0,
192.168.1.109,909,0.02734375,0.009765625,1.001953125,
192.168.1.109,912,0.021484375,0.0078125,0.998046875,
192.168.1.109,915,0.01953125,0.013671875,1.015625,
192.168.1.109,917,0.01171875,0.009765625,0.998046875,
192.168.1.109,920,0.0078125,0.0078125,1.01171875,
192.168.1.109,922,0.001953125,0.013671875,1.01171875,
192.168.1.109,925,-0.060546875,0.072265625,1.04296875,
192.168.1.109,927,-0.05078125,0.08984375,1.037109375,
192.168.1.109,930,-0.044921875,0.07421875,1.02734375,
192.168.1.109,933,-0.0078125,0.068359375,1.025390625,
192.168.1.109,935,0.025390625,0.056640625,1.021484375,
192.168.1.109,938,0.05859375,0.04296875,1.01171875,
192.168.1.109,940,0.087890625,0.021484375,1.0,
192.168.1.109,943,0.107421875,0.021484375,0.98046875,
192.168.1.109,945,0.130859375,0.03125,0.96875,
192.168.1.109,948,0.1328125,0.0390625,0.9453125,
192.168.1.109,951,0.11328125,0.05078125,0.939453125,
192.168.1.109,953,0.11328125,0.048828125,0.947265625,
192.168.1.109,956,0.126953125,0.046875,0.951171875,
192.168.1.109,959,0.126953125,0.05859375,0.919921875,
192.168.1.109,961,0.12109375,0.060546875,1.02734375,
192.168.1.109,964,0.1015625,0.03125,0.958984375,
192.168.1.109,967,0.119140625,0.015625,0.9609375,
192.168.1.109,969,0.1015625,0.0078125,0.9609375,
192.168.1.109,972,0.11328125,0.017578125,0.951171875,
192.168.1.109,974,0.08203125,0.021484375,0.95703125,
192.168.1.109,978,0.09375,0.01171875,0.98046875,
192.168.1.109,981,0.09765625,0.015625,0.99609375,
192.168.1.109,984,0.0625,0.01953125,1.0390625,
192.168.1.109,986,0.04296875,0.037109375,1.04296875,
192.168.1.109,989,0.03515625,0.046875,1.0390625,
192.168.1.109,991,0.02734375,0.056640625,1.0390625,
192.168.1.109,994,0.013671875,0.123046875,1.1328125,
192.168.1.109,996,0.046875,0.087890625,1.07421875,
192.168.1.109,998,0.052734375,0.1015625,1.060546875,
192.168.1.109,1001,0.068359375,0.13671875,1.0234375,
192.168.1.109,1003,0.09765625,0.1875,1.0390625,
192.168.1.109,1006,0.1328125,0.1953125,1.041015625,
192.168.1.109,1008,0.177734375,0.1953125,1.064453125,
192.168.1.109,1011,0.203125,0.173828125,1.076171875,
192.168.1.109,1013,0.1953125,0.19921875,1.072265625,
192.168.1.109,1016,0.171875,0.216796875,1.076171875,
192.168.1.109,1018,0.16015625,0.197265625,1.044921875,
192.168.1.109,1021,0.142578125,0.185546875,1.02734375,
192.168.1.109,1024,0.12890625,0.154296875,1.00390625,
192.168.1.109,1026,0.123046875,0.13671875,0.990234375,
192.168.1.109,1029,0.12109375,0.111328125,0.986328125,
192.168.1.109,1031,0.134765625,0.05859375,0.98046875,
192.168.1.109,1034,0.13671875,0.0234375,0.990234375,
192.168.1.109,1036,0.150390625,-0.02734375,0.99609375,
192.168.1.109,1039,0.154296875,-0.078125,1.009765625,
192.168.1.109,1041,0.15234375,-0.111328125,1.009765625,
192.168.1.109,1044,0.138671875,-0.134765625,1.0234375,
192.168.1.109,1046,0.12890625,-0.162109375,1.041015625,
192.168.1.109,1049,0.1328125,-0.189453125,1.0625,
192.168.1.109,1051,0.14453125,-0.203125,1.0703125,
192.168.1.109,1054,0.193359375,-0.279296875,1.044921875,
192.168.1.109,1057,0.171875,-0.26171875,1.103515625,
192.168.1.109,1059,0.162109375,-0.26171875,1.09765625,
192.168.1.109,1062,0.171875,-0.251953125,1.103515625,
192.168.1.109,1064,0.171875,-0.255859375,1.095703125,
192.168.1.109,1067,0.177734375,-0.271484375,1.09375,
192.168.1.109,1069,0.17578125,-0.30078125,1.078125,
192.168.1.109,1072,0.17578125,-0.3125,1.09375,
192.168.1.109,1075,0.18359375,-0.337890625,1.080078125,
192.168.1.109,1077,0.181640625,-0.35546875,1.0703125,
192.168.1.109,1080,0.173828125,-0.390625,1.044921875,
192.168.1.109,1082,0.1640625,-0.4140625,1.009765625,
192.168.1.109,1085,0.140625,-0.41015625,0.98828125,
192.168.1.109,1088,0.125,-0.41015625,0.97265625,
192.168.1.109,1090,0.1171875,-0.41015625,0.970703125,
192.168.1.109,1093,0.111328125,-0.41015625,0.953125,
192.168.1.109,1097,0.111328125,-0.3828125,0.912109375,
192.168.1.109,1101,0.109375,-0.357421875,0.916015625,
192.168.1.109,1103,0.08203125,-0.33203125,0.927734375,
